BoroCT2020,ScoreBaseMidSchool,WeightForAggregation
1000201,94,"0,1"
1000202,94,"0,3"
1000600,94,"0,2"
1000700,94,"0,2"
1000800,94,"0,2"
1000900,94,"0,2"
1001001,94,"0,1"
1001002,94,"0,2"
1001200,94,"0,1"
1001300,90,"0,3"
1001401,94,"0,1"
1001402,94,"0,1"
1001501,94,"0,3"
1001502,80,"0,2"
1001600,94,"0,2"
1001800,94,"0,2"
1002000,94,"0,1"
1002100,90,"0,2"
1002201,94,"0,2"
1002202,94,"0,1"
1002400,94,"0,2"
1002500,94,"0,1"
1002601,94,"0,1"
1002602,94,"0,1"
1002700,20,"0,1"
1002800,94,"0,2"
1002901,70,"0,1"
1002902,20,"0,1"
1003001,94,"0,1"
1003002,94,"0,1"
1003100,94,"0,2"
1003200,94,"0,2"
1003300,90,"0,3"
1003400,94,"0,2"
1003601,94,"0,1"
1003602,100,"0,1"
1003700,90,"0,4"
1003800,100,"0,2"
1003900,90,"0,3"
1004001,94,"0,1"
1004002,94,"0,1"
1004100,94,"0,2"
1004200,100,"0,1"
1004300,100,"0,1"
1004400,94,"0,4"
1004500,94,"0,1"
1004700,94,"0,2"
1004800,94,"0,2"
1004900,94,"0,2"
1005000,94,"0,2"
1005200,94,"0,2"
1005400,94,"0,2"
1005501,90,"0,1"
1005502,100,"0,1"
1005600,94,"0,2"
1005700,100,"0,1"
1005800,94,"0,2"
1005900,90,"0,1"
1006000,80,"0,1"
1006100,100,"0,1"
1006200,80,"0,3"
1006300,94,"0,2"
1006400,80,"0,2"
1006500,90,"0,2"
1006600,80,"0,2"
1006700,90,"0,2"
1006800,80,"0,2"
1006900,90,"0,2"
1007001,80,"0,1"
1007002,80,"0,1"
1007100,94,"0,2"
1007200,80,"0,2"
1007300,90,"0,2"
1007400,80,"0,2"
1007500,90,"0,2"
1007600,80,"0,2"
1007700,94,"0,2"
1007800,80,"0,2"
1007900,90,"0,3"
1008000,80,"0,2"
1008100,94,"0,2"
1008200,80,"0,2"
1008300,90,"0,2"
1008400,80,"0,2"
1008601,80,"0,1"
1008603,80,"0,1"
1008700,94,"0,2"
1008800,80,"0,2"
1008900,90,"0,2"
1009000,80,"0,2"
1009100,90,"0,2"
1009200,80,"0,2"
1009300,90,"0,2"
1009400,80,"0,2"
1009500,17,"0,2"
1009600,80,"0,2"
1009700,17,"0,2"
1009800,80,"0,2"
1009901,90,"0,4"
1009902,17,"0,2"
1009903,17,"0,4"
1010000,80,"0,2"
1010100,17,"0,2"
1010200,80,"0,2"
1010300,17,"0,2"
1010400,80,"0,2"
1010601,80,"0,1"
1010602,80,"0,1"
1010801,80,"0,1"
1010802,80,"0,1"
1010803,80,"0,1"
1010900,17,"0,2"
1011000,80,"0,2"
1011100,17,"0,2"
1011201,80,"0,1"
1011202,80,"0,1"
1011203,80,"0,1"
1011300,17,"0,2"
1011401,80,"0,1"
1011402,80,"0,1"
1011500,17,"0,2"
1011600,80,"0,2"
1011700,17,"0,2"
1011800,80,"0,2"
1011900,17,"0,2"
1012000,80,"0,2"
1012101,17,"0,1"
1012102,17,"0,1"
1012200,80,"0,2"
1012400,80,"0,2"
1012500,17,"0,2"
1012601,80,"0,1"
1012602,80,"0,1"
1012700,17,"0,2"
1012800,80,"0,2"
1012901,17,"0,2"
1012902,17,"0,2"
1013000,80,"0,2"
1013100,17,"0,2"
1013201,80,"0,1"
1013202,80,"0,1"
1013203,80,"0,1"
1013300,17,"0,2"
1013400,80,"0,2"
1013501,17,"0,2"
1013502,80,"0,2"
1013601,80,0
1013602,80,"0,1"
1013603,80,"0,1"
1013604,80,"0,1"
1013700,17,"0,2"
1013800,80,"0,2"
1013900,17,"0,2"
1014000,80,"0,2"
1014200,80,"0,2"
1014401,80,"0,1"
1014402,80,"0,2"
1014500,80,"0,2"
1014601,80,"0,1"
1014602,80,"0,1"
1014700,80,"0,1"
1014801,80,"0,1"
1014802,80,"0,1"
1014900,80,"0,2"
1015001,80,"0,1"
1015002,80,"0,1"
1015101,80,"0,1"
1015102,80,"0,2"
1015200,80,"0,2"
1015301,80,"0,1"
1015302,80,"0,1"
1015401,80,"0,1"
1015402,80,"0,1"
1015403,80,"0,1"
1015501,80,"0,1"
1015502,80,"0,1"
1015601,80,"0,1"
1015602,80,"0,1"
1015700,80,"0,2"
1015801,80,"0,1"
1015802,80,"0,1"
1015900,80,"0,2"
1016001,80,"0,1"
1016002,80,"0,1"
1016100,80,"0,2"
1016200,80,"0,3"
1016300,80,"0,3"
1016400,80,"0,2"
1016500,80,"0,2"
1016600,80,"0,2"
1016700,80,"0,2"
1016800,80,"0,2"
1016900,80,"0,2"
1017000,80,"0,2"
1017100,80,"0,2"
1017200,80,"0,2"
1017300,80,"0,2"
1017401,80,"0,1"
1017402,80,"0,1"
1017500,80,"0,2"
1017700,80,"0,2"
1017800,80,"0,2"
1017900,80,"0,2"
1018000,80,"0,2"
1018100,80,"0,1"
1018200,80,"0,2"
1018300,80,"0,2"
1018400,80,"0,2"
1018500,50,"0,1"
1018600,80,"0,1"
1018700,50,"0,2"
1018800,80,"0,1"
1018900,50,"0,3"
1019000,80,"0,1"
1019100,50,"0,2"
1019200,80,"0,2"
1019300,50,"0,2"
1019400,80,"0,2"
1019500,50,"0,2"
1019600,80,"0,2"
1019701,80,"0,2"
1019702,50,0
1019800,80,"0,2"
1019900,50,"0,2"
1020000,80,"0,1"
1020101,50,"0,1"
1020102,50,"0,1"
1020300,80,"0,2"
1020500,80,"0,3"
1020600,80,"0,1"
1020701,80,0
1020800,80,"0,1"
1020901,80,"0,1"
1021000,80,"0,2"
1021100,80,"0,3"
1021200,80,"0,2"
1021303,80,"0,2"
1021400,80,"0,1"
1021500,80,"0,1"
1021600,50,"0,2"
1021703,80,"0,3"
1021800,50,"0,2"
1021900,80,"0,3"
1022000,80,"0,2"
1022102,80,"0,1"
1022200,80,"0,2"
1022301,80,"0,2"
1022302,80,"0,1"
1022400,80,"0,2"
1022500,23,"0,3"
1022600,80,"0,2"
1022700,80,"0,2"
1022800,80,"0,2"
1022900,23,"0,2"
1023000,80,"0,2"
1023100,80,"0,2"
1023200,80,"0,2"
1023300,7,"0,2"
1023400,80,"0,1"
1023501,80,"0,2"
1023502,80,0
1023600,80,"0,3"
1023700,26,"0,3"
1023802,0,"0,2"
1023803,0,"0,1"
1023804,60,"0,2"
1023900,26,"0,1"
1024100,26,"0,2"
1024200,80,"0,3"
1024301,70,"0,1"
1024302,80,"0,2"
1024500,26,"0,2"
1024700,26,"0,3"
1024900,70,"0,1"
1025100,70,"0,2"
1025300,70,"0,2"
1025500,70,"0,4"
1025700,80,"0,1"
1025900,80,"0,1"
1026100,70,"0,2"
1026300,70,"0,2"
1026500,70,"0,2"
1026700,26,0
1026900,26,"0,2"
1027100,50,"0,2"
1027300,70,"0,2"
1027500,70,"0,3"
1027700,50,"0,2"
1027900,50,"0,2"
1028100,70,"0,1"
1028300,15,"0,2"
1028500,70,"0,1"
1028700,70,"0,5"
1029100,70,"0,2"
1029300,70,"0,2"
1029500,70,"0,1"
1029900,70,"0,6"
1030300,20,"0,2"
1030700,20,"0,1"
1030900,56,"0,3"
1031703,90,"0,2"
1031704,90,"0,2"
2000100,0,"1,7"
2000200,10,"0,5"
2000400,10,"0,8"
2001600,13,"0,5"
2001901,50,"0,2"
2001902,30,"0,5"
2001903,50,"0,9"
2002001,80,"0,2"
2002002,13,"0,2"
2002300,50,"0,1"
2002500,30,"0,1"
2002701,0,"0,1"
2002702,30,"0,2"
2002800,80,"0,4"
2003100,13,"0,2"
2003300,0,"0,2"
2003500,7,"0,1"
2003700,7,"0,2"
2003800,13,"0,1"
2003900,50,"0,2"
2004001,0,"0,1"
2004100,50,"0,2"
2004200,80,"0,5"
2004300,50,"0,2"
2004400,80,"0,3"
2004600,80,"0,1"
2004800,80,"0,1"
2005001,80,"0,1"
2005002,80,"0,1"
2005100,50,"0,5"
2005200,80,"0,2"
2005300,20,"0,1"
2005400,80,"0,2"
2005600,26,"0,1"
2005902,23,"0,1"
2006000,26,"0,3"
2006100,23,"0,2"
2006200,0,"0,2"
2006301,50,"0,8"
2006400,0,"0,2"
2006500,50,"0,3"
2006700,23,"0,2"
2006800,80,"0,2"
2006900,0,"0,2"
2007000,80,"0,2"
2007100,23,"0,3"
2007200,80,"0,2"
2007300,7,"0,1"
2007400,13,"0,2"
2007500,13,"0,2"
2007600,80,"0,2"
2007700,10,"0,1"
2007800,0,"0,3"
2007900,13,"0,2"
2008300,13,"0,2"
2008400,10,"0,2"
2008500,10,"0,2"
2008600,13,"0,2"
2008700,80,"0,2"
2008900,70,"0,1"
2009000,70,"1,1"
2009200,50,"0,3"
2009301,17,"0,6"
2009302,17,"1,8"
2009600,90,"0,7"
2009800,70,"0,5"
2011502,80,"0,3"
2011701,13,"0,2"
2011800,70,1
2011900,70,"0,2"
2012101,80,"0,1"
2012102,80,"0,1"
2012300,94,"0,3"
2012500,80,"0,2"
2012701,80,"0,1"
2012901,80,"0,2"
2013000,70,"0,1"
2013100,80,"0,2"
2013200,70,"0,6"
2013300,26,"0,2"
2013500,60,"0,2"
2013800,70,"0,8"
2014100,23,"0,2"
2014300,60,"0,1"
2014400,70,"0,4"
2014500,80,"0,2"
2014701,80,"0,1"
2014702,80,"0,1"
2014900,80,"0,2"
2015100,80,"0,2"
2015200,70,"0,3"
2015300,60,"0,2"
2015500,26,"0,1"
2015700,26,"0,3"
2015800,70,"0,2"
2015900,70,"0,1"
2016000,70,"0,5"
2016100,26,"0,2"
2016200,70,"0,2"
2016400,70,"0,2"
2016500,80,"0,2"
2016600,70,"0,3"
2016700,80,"0,2"
2016900,80,"0,1"
2017300,23,"0,2"
2017500,60,"0,2"
2017701,80,"0,1"
2017702,80,"0,1"
2017901,30,"0,1"
2017902,30,"0,1"
2018101,30,"0,1"
2018102,30,"0,1"
2018301,30,"0,1"
2018302,23,"0,1"
2018400,70,"0,4"
2018501,60,"0,2"
2018502,60,"0,2"
2018900,26,"0,4"
2019300,26,"0,2"
2019400,94,"0,8"
2019500,30,"0,2"
2019700,30,"0,1"
2019900,26,"0,2"
2020000,94,"0,3"
2020100,0,"0,3"
2020200,50,"0,1"
2020400,70,"0,1"
2020501,30,"0,3"
2020502,20,"0,1"
2020601,50,"0,2"
2020900,60,"0,1"
2021001,70,"0,2"
2021002,30,"0,2"
2021100,30,"0,2"
2021200,30,"0,1"
2021301,30,"0,1"
2021302,30,"0,2"
2021501,30,"0,1"
2021502,30,"0,2"
2021601,70,"0,2"
2021602,80,"0,2"
2021700,60,"0,2"
2021800,70,"0,3"
2021900,30,"0,1"
2022000,0,"0,2"
2022101,30,"0,1"
2022102,30,"0,1"
2022200,50,"0,2"
2022300,60,"0,1"
2022401,0,"0,1"
2022403,50,"0,1"
2022404,0,"0,1"
2022500,60,"0,2"
2022701,60,"0,1"
2022702,60,0
2022703,56,0
2022800,70,"0,2"
2022901,56,"0,1"
2022902,56,"0,1"
2023000,70,"0,2"
2023100,56,"0,1"
2023200,70,"0,1"
2023301,56,"0,1"
2023302,56,"0,1"
2023501,70,"0,1"
2023502,70,"0,1"
2023600,70,"0,1"
2023702,30,0
2023703,30,"0,1"
2023704,50,"0,1"
2023800,70,"0,3"
2023900,50,"0,2"
2024000,70,"0,2"
2024100,50,"0,1"
2024300,30,"0,1"
2024400,70,"0,2"
2024501,30,"0,1"
2024502,26,"0,1"
2024600,70,"0,2"
2024700,20,"0,1"
2024800,94,"0,3"
2024900,50,"0,2"
2025000,94,"0,2"
2025100,50,"0,2"
2025200,70,"0,2"
2025300,40,"0,1"
2025400,94,"0,2"
2025500,40,"0,2"
2025600,94,"0,2"
2025700,40,"0,2"
2026100,20,"0,2"
2026300,40,"0,2"
2026400,70,"0,4"
2026500,40,"0,2"
2026601,70,"0,2"
2026602,70,"0,3"
2026701,40,"0,1"
2026702,20,"0,2"
2026900,70,"0,4"
2027300,56,"0,2"
2027401,70,"0,7"
2027402,70,"0,5"
2027700,56,"0,2"
2027900,56,"0,3"
2028100,20,"0,1"
2028300,20,"0,2"
2028400,94,"1,1"
2028500,20,"0,3"
2028600,90,"0,2"
2028700,20,"0,2"
2028800,90,"0,3"
2028900,20,"0,2"
2029301,0,"0,2"
2029302,20,"0,4"
2029500,20,"0,2"
2029600,90,"0,7"
2029700,0,"0,2"
2030000,70,"0,4"
2030100,0,"0,1"
2030201,90,"0,2"
2030202,23,"0,3"
2030701,0,"0,4"
2030900,0,"1,3"
2031000,90,"0,6"
2031200,90,"0,2"
2031400,90,"0,2"
2031600,90,"0,2"
2031800,90,"0,2"
2031900,0,"0,2"
2032300,0,"0,6"
2032400,50,"0,3"
2032600,90,"0,3"
2032800,50,"0,2"
2033000,50,"0,2"
2033201,50,"0,1"
2033202,50,"0,1"
2033500,0,"0,2"
2033601,6,"0,1"
2033602,6,"0,1"
2033700,0,"0,4"
2033801,0,"0,1"
2033802,6,0
2034000,50,"0,2"
2034200,50,"0,2"
2034300,0,"0,1"
2034400,90,"0,2"
2034500,0,"0,3"
2034800,90,"0,4"
2035000,90,"0,2"
2035100,0,"0,6"
2035600,90,"0,4"
2035800,90,"0,7"
2035900,26,"0,1"
2036000,90,"0,3"
2036100,1,"0,2"
2036300,26,"0,2"
2036400,90,"0,2"
2036501,26,"0,1"
2036502,26,"0,1"
2036700,26,"0,1"
2036800,90,"0,2"
2036901,80,"0,1"
2036902,60,"0,1"
2037000,90,"0,2"
2037100,26,"0,2"
2037200,90,"0,2"
2037300,60,"0,2"
2037400,6,"0,2"
2037504,60,"0,2"
2037600,6,"0,1"
2037800,6,"0,1"
2037900,56,"0,2"
2038000,90,"0,2"
2038100,70,"0,2"
2038200,90,"0,2"
2038301,30,"0,1"
2038303,9,"0,1"
2038304,9,"0,1"
2038500,15,"0,2"
2038600,90,"0,4"
2038700,15,"0,2"
2038800,90,"0,1"
2038900,15,"0,2"
2039000,90,"0,2"
2039100,26,"0,2"
2039200,6,"0,1"
2039300,26,"0,2"
2039400,6,"0,1"
2039500,80,"0,4"
2039600,90,"0,2"
2039700,9,"0,5"
2039800,90,"0,2"
2039901,30,"0,2"
2039902,9,"0,1"
2040100,30,"0,2"
2040302,56,"0,1"
2040303,40,"0,1"
2040304,40,"0,1"
2040400,20,"0,2"
2040501,0,"0,1"
2040502,6,"0,1"
2040600,6,"0,2"
2040701,40,"0,1"
2040702,40,"0,2"
2040800,6,"0,1"
2040900,20,"1,2"
2041100,40,"0,1"
2041300,40,"0,2"
2041400,6,"0,6"
2041500,40,"0,1"
2041800,30,"0,3"
2041900,40,"0,3"
2042000,6,"0,2"
2042100,40,"0,2"
2042200,20,"0,2"
2042300,40,"0,2"
2042400,20,"0,2"
2042500,40,"0,3"
2042600,20,"0,5"
2042800,20,"0,2"
2042901,40,"0,1"
2042902,40,"0,1"
2043000,20,"0,2"
2043101,40,"0,1"
2043102,40,"0,1"
2043400,20,"0,3"
2043501,70,"0,4"
2043600,20,"0,2"
2044200,20,"0,2"
2044400,20,"0,4"
2044800,20,"0,2"
2044901,80,"0,2"
2044902,80,"0,2"
2045101,30,"0,2"
2045102,30,"0,2"
2045600,20,"0,9"
2045800,20,"0,2"
2046000,20,"0,3"
2046203,30,"0,9"
2046204,23,"0,1"
2046205,90,"0,9"
2046206,0,"0,1"
2046207,90,"0,2"
2046208,90,"0,5"
2046209,20,"0,5"
2048401,20,"0,5"
2048402,20,"0,2"
2051601,13,"1,2"
3000100,80,"0,2"
3000200,94,"0,3"
3000301,80,"0,2"
3000501,80,"0,1"
3000502,80,"0,1"
3000700,80,"0,2"
3000900,80,"0,2"
3001100,80,"0,2"
3001300,80,"0,3"
3001501,80,"0,2"
3001502,80,"0,1"
3001801,94,"0,5"
3001802,94,"0,6"
3001803,50,"0,6"
3002000,23,"0,2"
3002100,80,"0,5"
3002200,50,"0,3"
3002300,80,"0,2"
3002901,80,"0,1"
3003000,10,"0,1"
3003101,80,"0,2"
3003300,80,"0,2"
3003400,10,"0,5"
3003500,80,"0,1"
3003600,10,"0,1"
3003700,80,"0,2"
3003800,10,"0,1"
3003900,23,"0,2"
3004100,23,"0,2"
3004300,23,"0,2"
3004400,80,"0,4"
3004500,50,"0,2"
3004600,26,"0,3"
3004700,80,"0,3"
3004900,50,"0,1"
3005000,26,"0,2"
3005100,26,"0,2"
3005201,90,"0,1"
3005202,90,"0,1"
3005301,26,"0,6"
3005302,26,"0,8"
3005400,15,"0,2"
3005601,15,"0,2"
3005602,15,"0,1"
3005800,90,"0,2"
3005900,26,"0,4"
3006000,90,"0,2"
3006200,90,"0,2"
3006300,26,"0,1"
3006400,80,"0,2"
3006500,26,"0,2"
3006600,10,"0,2"
3006700,50,"0,2"
3006800,10,"0,2"
3006901,23,"0,1"
3006902,23,"0,1"
3007000,50,"0,1"
3007100,23,"0,2"
3007200,50,"0,1"
3007400,50,"0,1"
3007500,50,"0,3"
3007600,23,"0,1"
3007700,50,"0,4"
3007800,23,"0,1"
3008000,23,"0,1"
3008200,23,"0,1"
3008400,94,"0,2"
3008500,26,"0,2"
3008800,94,"0,2"
3009001,30,"0,1"
3009002,30,"0,1"
3009201,30,"0,1"
3009202,30,"0,1"
3009401,60,"0,1"
3009402,60,"0,1"
3009600,30,"0,2"
3009800,23,"0,2"
3010000,23,"0,2"
3010100,94,"0,3"
3010200,50,"0,2"
3010401,50,"0,1"
3010402,70,"0,1"
3010601,80,"0,1"
3010602,80,"0,1"
3010801,20,"0,1"
3010802,20,"0,1"
3011000,10,"0,2"
3011200,23,"0,2"
3011400,60,"0,2"
3011600,80,"0,2"
3011700,26,"0,2"
3011800,50,"0,2"
3011901,56,"0,5"
3012000,50,"0,2"
3012100,26,"0,1"
